,,,Range,,
77,,,0-10,11792,11792
78,,,11-20,19711,7919
79,,,21-30,25047,5336
82,,,31-40,28515,3468
78,,,41-50,30827,2312
77,,,51-60,32382,1555
78,,,61-70,33354,972
82,,,71-80,48953,15599
80,,,81-90,81166,32213
79,,,91-100,99099,17933
77,,,,,
78,,,,,
79,,,,,
87,,,,,
85,,,,,
88,,,,,
79,,,,,
87,,,,,
88,,,,,
85,,,,,
85,,,,,
78,,,,,
81,,,,,
87,,,,,
79,,,,,
87,,,,,
78,,,,,
89,,,,,
90,,,,,
0,,,,,
79,,,,,
80,,,,,
83,,,,,
91,,,,,
83,,,,,
14,,,,,
91,,,,,
79,,,,,
91,,,,,
14,,,,,
77,,,,,
4,,,,,
96,,,,,
89,,,,,
76,,,,,
87,,,,,
4,,,,,
99,,,,,
3,,,,,
83,,,,,
89,,,,,
97,,,,,
17,,,,,
21,,,,,
85,,,,,
81,,,,,
93,,,,,
88,,,,,
80,,,,,
4,,,,,
18,,,,,
15,,,,,
83,,,,,
98,,,,,
60,,,,,
82,,,,,
1,,,,,
37,,,,,
7,,,,,
93,,,,,
51,,,,,
0,,,,,
8,,,,,
84,,,,,
78,,,,,
97,,,,,
79,,,,,
83,,,,,
83,,,,,
79,,,,,
77,,,,,
96,,,,,
6,,,,,
54,,,,,
53,,,,,
88,,,,,
98,,,,,
20,,,,,
38,,,,,
5,,,,,
83,,,,,
27,,,,,
25,,,,,
11,,,,,
97,,,,,
16,,,,,
46,,,,,
27,,,,,
9,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
76,,,,,
77,,,,,
81,,,,,
79,,,,,
87,,,,,
79,,,,,
77,,,,,
86,,,,,
86,,,,,
87,,,,,
89,,,,,
85,,,,,
87,,,,,
91,,,,,
88,,,,,
97,,,,,
78,,,,,
96,,,,,
83,,,,,
4,,,,,
94,,,,,
82,,,,,
93,,,,,
81,,,,,
81,,,,,
86,,,,,
82,,,,,
96,,,,,
10,,,,,
96,,,,,
17,,,,,
83,,,,,
87,,,,,
83,,,,,
99,,,,,
93,,,,,
5,,,,,
4,,,,,
14,,,,,
23,,,,,
20,,,,,
10,,,,,
94,,,,,
93,,,,,
1,,,,,
0,,,,,
86,,,,,
19,,,,,
30,,,,,
0,,,,,
86,,,,,
23,,,,,
83,,,,,
1,,,,,
98,,,,,
88,,,,,
77,,,,,
99,,,,,
34,,,,,
88,,,,,
37,,,,,
94,,,,,
79,,,,,
99,,,,,
3,,,,,
11,,,,,
21,,,,,
3,,,,,
30,,,,,
0,,,,,
83,,,,,
27,,,,,
94,,,,,
82,,,,,
1,,,,,
82,,,,,
15,,,,,
97,,,,,
88,,,,,
97,,,,,
1,,,,,
3,,,,,
4,,,,,
34,,,,,
85,,,,,
85,,,,,
1,,,,,
92,,,,,
88,,,,,
3,,,,,
97,,,,,
1,,,,,
0,,,,,
99,,,,,
36,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
77,,,,,
78,,,,,
81,,,,,
79,,,,,
80,,,,,
76,,,,,
79,,,,,
86,,,,,
90,,,,,
86,,,,,
77,,,,,
81,,,,,
81,,,,,
86,,,,,
91,,,,,
95,,,,,
84,,,,,
91,,,,,
79,,,,,
84,,,,,
83,,,,,
78,,,,,
14,,,,,
82,,,,,
11,,,,,
80,,,,,
99,,,,,
84,,,,,
2,,,,,
82,,,,,
98,,,,,
96,,,,,
86,,,,,
15,,,,,
87,,,,,
2,,,,,
84,,,,,
96,,,,,
21,,,,,
2,,,,,
27,,,,,
9,,,,,
80,,,,,
91,,,,,
80,,,,,
87,,,,,
94,,,,,
0,,,,,
83,,,,,
95,,,,,
88,,,,,
77,,,,,
21,,,,,
15,,,,,
90,,,,,
99,,,,,
42,,,,,
98,,,,,
20,,,,,
36,,,,,
94,,,,,
21,,,,,
81,,,,,
41,,,,,
15,,,,,
8,,,,,
79,,,,,
78,,,,,
23,,,,,
23,,,,,
80,,,,,
86,,,,,
4,,,,,
25,,,,,
16,,,,,
20,,,,,
7,,,,,
17,,,,,
91,,,,,
11,,,,,
54,,,,,
2,,,,,
9,,,,,
13,,,,,
38,,,,,
92,,,,,
32,,,,,
34,,,,,
70,,,,,
40,,,,,
87,,,,,
87,,,,,
98,,,,,
8,,,,,
46,,,,,
77,,,,,
78,,,,,
80,,,,,
80,,,,,
79,,,,,
81,,,,,
79,,,,,
79,,,,,
82,,,,,
77,,,,,
79,,,,,
83,,,,,
82,,,,,
82,,,,,
85,,,,,
77,,,,,
85,,,,,
83,,,,,
