,,Range,Freq,Accum,Percent
98,,0-10,34695,34695,0.350104441
99,,11-20,53660,18965,0.191374282
0,,21-30,65846,12186,0.122967941
1,,31-40,73867,8021,0.080939263
97,,41-50,79315,5448,0.054975328
98,,51-60,83052,3737,0.037709765
0,,61-70,85503,2451,0.024732843
0,,71-80,87110,1607,0.016216107
6,,81-90,88174,1064,0.010736738
1,,91-100,99099,10925,0.110243292
3,,,,99099,
13,,,,,
1,,,,,
1,,,,,
97,,,,,
99,,,,,
4,,,,,
11,,,,,
5,,,,,
7,,,,,
11,,,,,
12,,,,,
4,,,,,
1,,,,,
97,,,,,
98,,,,,
99,,,,,
6,,,,,
11,,,,,
15,,,,,
98,,,,,
14,,,,,
2,,,,,
9,,,,,
16,,,,,
8,,,,,
20,,,,,
18,,,,,
18,,,,,
25,,,,,
9,,,,,
13,,,,,
11,,,,,
5,,,,,
11,,,,,
27,,,,,
48,,,,,
25,,,,,
22,,,,,
21,,,,,
2,,,,,
13,,,,,
14,,,,,
3,,,,,
20,,,,,
75,,,,,
36,,,,,
33,,,,,
15,,,,,
97,,,,,
7,,,,,
2,,,,,
31,,,,,
24,,,,,
38,,,,,
72,,,,,
15,,,,,
46,,,,,
12,,,,,
47,,,,,
4,,,,,
2,,,,,
6,,,,,
16,,,,,
11,,,,,
24,,,,,
52,,,,,
83,,,,,
4,,,,,
32,,,,,
7,,,,,
50,,,,,
73,,,,,
17,,,,,
35,,,,,
16,,,,,
45,,,,,
8,,,,,
11,,,,,
35,,,,,
98,,,,,
45,,,,,
46,,,,,
80,,,,,
71,,,,,
8,,,,,
3,,,,,
64,,,,,
35,,,,,
98,,,,,
99,,,,,
1,,,,,
2,,,,,
97,,,,,
3,,,,,
0,,,,,
11,,,,,
2,,,,,
4,,,,,
4,,,,,
2,,,,,
1,,,,,
11,,,,,
2,,,,,
6,,,,,
8,,,,,
1,,,,,
4,,,,,
9,,,,,
17,,,,,
3,,,,,
9,,,,,
15,,,,,
10,,,,,
11,,,,,
99,,,,,
31,,,,,
4,,,,,
4,,,,,
18,,,,,
20,,,,,
5,,,,,
5,,,,,
12,,,,,
0,,,,,
32,,,,,
29,,,,,
1,,,,,
1,,,,,
58,,,,,
27,,,,,
36,,,,,
16,,,,,
21,,,,,
33,,,,,
0,,,,,
41,,,,,
10,,,,,
14,,,,,
1,,,,,
26,,,,,
7,,,,,
41,,,,,
7,,,,,
37,,,,,
40,,,,,
24,,,,,
8,,,,,
97,,,,,
3,,,,,
35,,,,,
29,,,,,
65,,,,,
8,,,,,
44,,,,,
